Borneo Exotics,IV,izumiae,BE-3925, ,
Borneo Exotics,IV,jacquelineae ,BE-3092, ,
Borneo Exotics,IV,jacquelineae ,BE-3096, ,
Borneo Exotics,IV,jacquelineae ,BE-3874, ,
Borneo Exotics,IV,khasiana ,BE-3098, ,
Borneo Exotics,IV,lamii,BE-3099, ,
Borneo Exotics,IV,lowii,BE-3100, ,
Borneo Exotics,IV,macfarlanei,BE-3103, ,
Borneo Exotics,IV,macrophylla,BE-3106, ,
Borneo Exotics,IV,macrovulgaris,BE-3107, ,
Borneo Exotics,IV,madagascariensis ,BE-3109, ,
Borneo Exotics,IV,madagascariensis ,BE-3247, ,
Borneo Exotics,IV,merrilliana,BE-3117, ,
Borneo Exotics,IV,merrilliana,BE-3337, ,
Borneo Exotics,IV,merrilliana,BE-3493, ,
Borneo Exotics,IV,merrilliana,BE-3727, ,
Borneo Exotics,IV,mikei,BE-3121, ,
Borneo Exotics,IV,mikei,BE-3506, ,
Borneo Exotics,IV,mindanaoensis,BE-3122, ,
Borneo Exotics,IV,mira ,BE-3123, ,
Borneo Exotics,IV,mira ,BE-3362, ,
Borneo Exotics,IV,mira ,BE-3979, ,
Borneo Exotics,IV,petiolata,BE-3135, ,
Borneo Exotics,IV,petiolata,BE-3913, ,
Borneo Exotics,IV,philippinensis ,BE-3136, ,
Borneo Exotics,IV,rafflesiana,BE-3141, ,
Borneo Exotics,IV,rafflesiana,BE-3144, ,
Borneo Exotics,IV,rafflesiana,BE-3146, ,
Borneo Exotics,IV,rafflesiana,BE-3147, ,
Borneo Exotics,IV,rafflesiana,BE-3148, ,
Borneo Exotics,IV,rafflesiana,BE-3351, ,
Borneo Exotics,IV,rafflesiana,BE-3352, ,
Borneo Exotics,IV,rafflesiana,BE-3353, ,
Borneo Exotics,IV,rafflesiana,BE-3402, ,
Borneo Exotics,IV,rafflesiana,BE-3451, ,
Borneo Exotics,IV,rafflesiana,BE-3475, ,
Borneo Exotics,IV,rafflesiana,BE-3722, ,
Borneo Exotics,IV,rafflesiana,BE-4519, ,
Borneo Exotics,IV,rafflesiana,BE-4571, ,
Borneo Exotics,IV,neoguineensis,BE-3151, ,
Borneo Exotics,IV,neoguineensis,BE-3393, ,
Borneo Exotics,IV,neoguineensis,BE-4539, ,
Borneo Exotics,IV,rajah,BE-3152, ,
Borneo Exotics,IV,ramispina,BE-3155, ,
Borneo Exotics,IV,ramispina,BE-3929, ,
Borneo Exotics,IV,reinwardtiana,BE-3159, ,
Borneo Exotics,IV,reinwardtiana,BE-3671, ,
Borneo Exotics,IV,sanguinea,BE-3162, ,
Borneo Exotics,IV,sanguinea,BE-3312, ,
Borneo Exotics,IV,sanguinea,BE-4066, ,
Borneo Exotics,IV,sibuyanensis ,BE-3164, ,
Borneo Exotics,IV,sibuyanensis ,BE-3972, ,
Borneo Exotics,IV,sibuyanensis ,BE-4029, ,
Borneo Exotics,IV,singalana,BE-3169, ,
Borneo Exotics,IV,singalana,BE-3170, ,
Borneo Exotics,IV,singalana,BE-3248, ,
Borneo Exotics,IV,singalana,BE-3761, ,
Borneo Exotics,IV,smilesii ,BE-3171, ,
Borneo Exotics,IV,smilesii ,BE-3313, ,
Borneo Exotics,IV,smilesii ,BE-3316, ,
Borneo Exotics,IV,smilesii ,BE-3358, ,
Borneo Exotics,IV,sp. #1 ,BE-3172, ,
Borneo Exotics,IV,sp. #2 ,BE-3173, ,
Borneo Exotics,IV,spathulata ,BE-3174, ,
Borneo Exotics,IV,spathulata ,BE-3175, ,
Borneo Exotics,IV,spectabilis,BE-3176, ,
Borneo Exotics,IV,spectabilis,BE-3177, ,
Borneo Exotics,IV,spectabilis,BE-3178, ,
Borneo Exotics,IV,spectabilis,BE-3179, ,
Borneo Exotics,IV,spectabilis,BE-3321, ,
Borneo Exotics,IV,spectabilis,BE-3322, ,
Borneo Exotics,IV,spectabilis,BE-3768, ,
Borneo Exotics,IV,sumatrana,BE-3186, ,
Borneo Exotics,IV,sumatrana,BE-4540, ,
Borneo Exotics,IV,talangensis,BE-3187, ,
Borneo Exotics,IV,talangensis,BE-3835, ,
Borneo Exotics,IV,talangensis,BE-4075, ,
Borneo Exotics,IV,tentaculata,BE-3191, ,
Borneo Exotics,IV,tentaculata,BE-3192, ,
Borneo Exotics,IV,tentaculata,BE-3193, ,
Borneo Exotics,IV,tentaculata,BE-3194, ,
Borneo Exotics,IV,tentaculata,BE-3870, ,
Borneo Exotics,IV,tobaica,BE-3196, ,
Borneo Exotics,IV,tobaica,BE-3198, ,
Borneo Exotics,IV,tobaica,BE-3259, ,
Borneo Exotics,IV,tobaica,BE-3260, ,
Borneo Exotics,IV,tobaica,BE-3261, ,
Borneo Exotics,IV,tobaica,BE-3264, ,
Borneo Exotics,IV,tobaica,BE-4089, ,
Borneo Exotics,IV,tomoriana,BE-3200, ,
Borneo Exotics,IV,tomoriana,BE-3338, ,
Borneo Exotics,IV,tomoriana,BE-3342, ,
Borneo Exotics,IV,tomoriana,BE-3343, ,
Borneo Exotics,IV,tomoriana,BE-3344, ,
Borneo Exotics,IV,truncata ,BE-3202, ,
Borneo Exotics,IV,truncata ,BE-3203, ,
Borneo Exotics,IV,truncata ,BE-3204, ,
Borneo Exotics,IV,truncata ,BE-4001, ,
Borneo Exotics,IV,veitchii ,BE-3205, ,
Borneo Exotics,IV,veitchii ,BE-3207, ,
Borneo Exotics,IV,veitchii ,BE-3482, ,
Borneo Exotics,IV,veitchii ,BE-3646, ,
Borneo Exotics,IV,veitchii ,BE-3734, ,
Borneo Exotics,IV,veitchii ,BE-4021, ,
Borneo Exotics,IV,veitchii ,BE-4033, ,
Borneo Exotics,IV,veitchii ,BE-4068, ,
Borneo Exotics,IV,veitchii ,BE-4087, ,
Borneo Exotics,IV,veitchii ,BE-4093, ,
Borneo Exotics,IV,veitchii ,BE-4094, ,
Borneo Exotics,IV,veitchii ,BE-4095, ,
Borneo Exotics,IV,veitchii ,BE-4096, ,
Borneo Exotics,IV,veitchii ,BE-4097, ,
Borneo Exotics,IV,ventricosa ,BE-3215, ,
Borneo Exotics,IV,ventricosa ,BE-3217, ,
Borneo Exotics,IV,ventricosa ,BE-3278, ,
Borneo Exotics,IV,ventricosa ,BE-3645, ,
Borneo Exotics,IV,ventricosa ,BE-3771, ,
Borneo Exotics,IV,ventricosa ,BE-3772, ,
Borneo Exotics,IV,vieillardii,BE-3224, ,
Borneo Exotics,IV,vieillardii,BE-4599, ,
Borneo Exotics,IV,villosa,BE-3225, ,
Borneo Exotics,IV,burkei ,BE-3254, ,
Borneo Exotics,IV,burkei ,BE-4512, ,
Borneo Exotics,IV,burkei ,BE-4527, ,
Borneo Exotics,IV,vogelii,BE-3256, ,
Borneo Exotics,IV,glabrata ,BE-3257, ,
Borneo Exotics,IV,glabrata ,BE-4592, ,
Borneo Exotics,IV,platychila ,BE-3266, ,
Borneo Exotics,IV,platychila ,BE-3503, ,
Borneo Exotics,IV,platychila ,BE-4065, ,
Borneo Exotics,IV,jamban ,BE-3276, ,
Borneo Exotics,IV,jamban ,BE-3875, ,
Borneo Exotics,IV,lingulata,BE-3277, ,
Borneo Exotics,IV,lingulata,BE-3463, ,
Borneo Exotics,IV,alba ,BE-3299, ,
Borneo Exotics,IV,robcantleyi,BE-3307, ,
Borneo Exotics,IV,robcantleyi,BE-3517, ,
Borneo Exotics,IV,mollis ,BE-3308, ,
Borneo Exotics,IV,treubiana,BE-3340, ,
Borneo Exotics,IV,treubiana,BE-3341, ,
Borneo Exotics,IV,thai ,BE-3346, ,
Borneo Exotics,IV,thai ,BE-3364, ,
Borneo Exotics,IV,kerrii ,BE-3347, ,
Borneo Exotics,IV,adnata ,BE-3350, ,
Borneo Exotics,IV,northiana,BE-3357, ,
Borneo Exotics,IV,mirabilis var. echinostoma,BE-3363, ,
Borneo Exotics,IV,mirabilis var. echinostoma,BE-3372, ,
Borneo Exotics,IV,rowanae ,BE-3370, ,
Borneo Exotics,IV,kongkandana ,BE-3392, ,
Borneo Exotics,IV,mirabilis var. globosa,BE-3394, ,
Borneo Exotics,IV,mirabilis var. globosa,BE-3852, ,
Borneo Exotics,IV,mirabilis var. globosa,BE-3928, ,
Borneo Exotics,IV,chang ,BE-3397, ,
Borneo Exotics,IV,mirabilis ,BE-3403, ,
Borneo Exotics,IV,attenboroughii,BE-3439, ,
Borneo Exotics,IV,attenboroughii,BE-3693, ,
Borneo Exotics,IV,klossii ,BE-3452, ,
Borneo Exotics,IV,klossii ,BE-3502, ,
Borneo Exotics,IV,klossii ,BE-4014, ,
Borneo Exotics,IV,dubia ,BE-3572, ,
Borneo Exotics,IV,palawanensis,BE-3651, ,
Borneo Exotics,IV,palawanensis,BE-4013, ,
Borneo Exotics,IV,flava ,BE-3652, ,
Borneo Exotics,IV,chaniana,BE-3673, ,
Borneo Exotics,IV,glandulifera,BE-3691, ,
Borneo Exotics,IV,glandulifera,BE-3766, ,
Borneo Exotics,IV,glandulifera,BE-3879, ,
Borneo Exotics,IV,longifolia,BE-3704, ,
Borneo Exotics,IV,eymae ,BE-3736, ,
Borneo Exotics,IV,aenigma ,BE-3770, ,
Borneo Exotics,IV,pervillei ,BE-3839, ,
Borneo Exotics,IV,bokorensis,BE-3856, ,
Borneo Exotics,IV,bokorensis,BE-3857, ,
Borneo Exotics,IV,bokorensis,BE-3858, ,
Borneo Exotics,IV,bokorensis,BE-4518, ,
Borneo Exotics,IV,stenophylla ,BE-3905, ,
Borneo Exotics,IV,ovata ,BE-3919, ,
Borneo Exotics,IV,ovata ,BE-4084, ,
Borneo Exotics,IV,mollis,BE-3921, ,
Borneo Exotics,IV,ceciliae,BE-3956, ,
Borneo Exotics,IV,ceciliae,BE-4600, ,
Borneo Exotics,IV,peltata ,BE-4025, ,
Borneo Exotics,IV,peltata ,BE-4613, ,
Borneo Exotics,IV,tenuis,BE-4049, ,
Borneo Exotics,IV,clipeata,BE-4058, ,
Borneo Exotics,IV,nigra ,BE-4607, ,
Andreas Wistuba,IV,alba ,AW-N_gma.01, ,
Andreas Wistuba,IV,ampullaria,AW-N_amp_Sdw.RSC, ,
Andreas Wistuba,IV,ampullaria,AW-N_amp_Sdw.Langtrieb, ,
Andreas Wistuba,IV,argentii ,AW-N_arg.07, ,
Andreas Wistuba,IV,argentii ,AW-N_arg.08, ,
Andreas Wistuba,IV,argentii ,AW-N_arg.09, ,
Andreas Wistuba,IV,argentii ,AW-N_arg.11, ,
Andreas Wistuba,IV,argentii ,AW-N_arg.13, ,
Andreas Wistuba,IV,attenboroughii,AW-N_att.513, ,
Andreas Wistuba,IV,attenboroughii,AW-N_att.515, ,
Andreas Wistuba,IV,bicalcarata ,AW-N_bic.02F, ,
Andreas Wistuba,IV,bongso ,AW-N_bong_JN.01, ,
Andreas Wistuba,ISC,boschiana ,AW-N_bosch.ISC, ,
Andreas Wistuba,IV,carunculata ,AW-N_carunc_Sag.01, ,
Andreas Wistuba,IV,carunculata ,AW-N_carunc_Sag.RC, ,
Andreas Wistuba,IV,carunculata ,AW-N_carunc_r.01, ,
Andreas Wistuba,IV,chaniana,AW-N_chan.01, ,
Andreas Wistuba,IV,chaniana,AW-N_chan.02, ,
Andreas Wistuba,IV,chaniana,AW-N_chan.04, ,
Andreas Wistuba,IV,chaniana,AW-N_chan.05, ,
Andreas Wistuba,IV,chaniana,AW-N_chan.MT01, ,
Andreas Wistuba,IV,chaniana ,AW-N_chan.RSC, ,
Andreas Wistuba,IV,chaniana,AW-N_chan.RC, ,
Andreas Wistuba,IV,cornuta ,AW-N_corn.01, ,
Andreas Wistuba,IV,cornuta ,AW-N_corn.RC, ,
Andreas Wistuba,IV,dactylifera,AW-N_dact_faiz.01, ,
Andreas Wistuba,IV,diabolica,AW-N_RHH.01, ,
Andreas Wistuba,IV,diabolica,AW-N_RHH.02, ,
Andreas Wistuba,IV,diabolica,AW-N_RHH.03, ,
Andreas Wistuba,IV,diabolica,AW-N_RHH.04, ,
Andreas Wistuba,IV,diabolica,AW-N_RHH.05, ,
Andreas Wistuba,IV,diabolica,AW-N_RHH.07, ,
Andreas Wistuba,IV,diabolica,AW-N_RHH.09, ,
Andreas Wistuba,IV,diabolica,AW-N_RHH.13, ,
Andreas Wistuba,IV,diabolica,AW-N_RHH.14, ,
Andreas Wistuba,ISC,diabolica ,AW-N_RHH.ISC, ,
Andreas Wistuba,IV,dubia,AW-N_dub_T.02, ,
Andreas Wistuba,IV,dubia,AW-N_dub_T.03, ,
Andreas Wistuba,IV,dubia,AW-N_dub_T.14, ,
Andreas Wistuba,IV,dubia ,AW-N_dub_T.Langtrieb, ,
Andreas Wistuba,IV,dubia,AW-N_dub_M.01, ,
Andreas Wistuba,IV,dubia,AW-N_dub_M.03, ,
Andreas Wistuba,IV,dubia,AW-N_dub_M.04, ,
Andreas Wistuba,IV,dubia,AW-N_dub_M.06, ,
Andreas Wistuba,IV,dubia,AW-N_dub_M.09, ,
Andreas Wistuba,IV,dubia ,AW-N_dub_M.RSC, ,
Andreas Wistuba,IV,dubia ,AW-N_dub_M.Langtrieb, ,
Andreas Wistuba,IV,ephippiata,AW-N_ephi_R.01, ,
Andreas Wistuba,IV,ephippiata,AW-N_ephi_R.02, ,
Andreas Wistuba,IV,ephippiata,AW-N_ephi_R.04, ,
Andreas Wistuba,IV,ephippiata,AW-N_ephi_R.05, ,
Andreas Wistuba,IV,ephippiata,AW-N_ephi_HM.RSC, ,
Andreas Wistuba,IV,epiphytica,AW-N_epiphy.01, ,
Andreas Wistuba,ISC,epiphytica ,AW-N_epiphy.ISC, ,
Andreas Wistuba,IV,epiphytica,AW-N_epiphy.RC, ,
Andreas Wistuba,IV,eymae ,AW-N_ey.01, ,
Andreas Wistuba,IV,eymae ,AW-N_ey.02, ,
Andreas Wistuba,IV,eymae ,AW-N_ey.03, ,
Andreas Wistuba,IV,eymae ,AW-N_ey.04, ,
Andreas Wistuba,IV,eymae ,AW-N_ey.05, ,
Andreas Wistuba,IV,eymae ,AW-N_ey.06, ,
Andreas Wistuba,IV,eymae ,AW-N_ey.07, ,
Andreas Wistuba,IV,eymae ,AW-N_ey.08, ,
Andreas Wistuba,IV,eymae,AW-N_ey.Lumut_Hort_01, ,
Andreas Wistuba,IV,eymae ,AW-N_ey.RC, ,
Andreas Wistuba,IV,fallax ,AW-N_fal.01, ,
Andreas Wistuba,IV,flava,AW-N_flav.02A, ,
Andreas Wistuba,IV,flava,AW-N_flav.RSC, ,
Andreas Wistuba,IV,flava ,AW-N_flav.RC, ,
Andreas Wistuba,IV,fusca ,AW-N_fusc_Kem.02, ,
Andreas Wistuba,IV,fusca ,AW-N_fusc_Kem.04, ,
Andreas Wistuba,IV,fusca ,AW-N_fusc_Kem.05, ,
Andreas Wistuba,IV,fusca ,AW-N_fusc_Kem.08, ,
Andreas Wistuba,IV,glabrata ,AW-N_glab_KatG.01, ,
Andreas Wistuba,IV,glandulifera ,AW-N_glandu_MT.01, ,
Andreas Wistuba,ISC,glandulifera,AW-N_glandu_MT.ISC, ,
Andreas Wistuba,IV,glandulifera ,AW-N_glandu_MT.RC, ,
Andreas Wistuba,IV,globosa ,AW-N_glob.03, ,
Andreas Wistuba,IV,globosa ,AW-N_glob.04, ,
Andreas Wistuba,IV,globosa ,AW-N_glob.05, ,
Andreas Wistuba,IV,globosa ,AW-N_glob.07, ,
Andreas Wistuba,ISC,gracilis,AW-N_grac_Beau.ISC, ,
Andreas Wistuba,IV,gymnamphora,AW-N_gym_T.01, ,
Andreas Wistuba,IV,gymnamphora,AW-N_gym_T.RC, ,
Andreas Wistuba,IV,hamata ,AW-N_ham.01, ,
Andreas Wistuba,IV,hamata ,AW-N_ham.02, ,
Andreas Wistuba,IV,hamata ,AW-N_ham.03, ,
Andreas Wistuba,ISC,hamata,AW-N_ham.ISC, ,
Andreas Wistuba,IV,inermis,AW-N_inerm.09, ,
Andreas Wistuba,IV,inermis,AW-N_inerm.10, ,
Andreas Wistuba,IV,inermis,AW-N_inerm.11, ,
Andreas Wistuba,IV,inermis ,AW-N_inerm.Langtrieb, ,
Andreas Wistuba,IV,inermis,AW-N_inerm.RC, ,
Andreas Wistuba,IV,izumiae ,AW-N_iz.01, ,
Andreas Wistuba,IV,izumiae ,AW-N_iz.04, ,
Andreas Wistuba,IV,izumiae ,AW-N_iz.06, ,
Andreas Wistuba,IV,izumiae ,AW-N_iz.07, ,
Andreas Wistuba,IV,izumiae ,AW-N_iz.09, ,
Andreas Wistuba,IV,jacquelineae,AW-N_jaq_1-04.04, ,
Andreas Wistuba,IV,jacquelineae,AW-N_jaq_1-04.05, ,
Andreas Wistuba,IV,jacquelineae,AW-N_jaq_1-04.07, ,
Andreas Wistuba,IV,jacquelineae,AW-N_jaq_1-04.10, ,
Andreas Wistuba,IV,jamban,AW-N_jamb_TG.RSC, ,
Andreas Wistuba,IV,khasiana,AW-N_khas.01, ,
Andreas Wistuba,IV,lamii,AW-N_lam_Dor.02, ,
Andreas Wistuba,IV,lamii ,AW-N_lam_Dor.Y, ,
Andreas Wistuba,IV,lamii ,AW-N_lam_Dor.E, ,
Andreas Wistuba,IV,lamii ,AW-N_lam_Dor.W, ,
Andreas Wistuba,IV,lamii ,AW-N_lam_Dor.T, ,
Andreas Wistuba,IV,lamii ,AW-N_lam_Dor.Z, ,
